id,source_url,incident_title,location,category,date_incident,date_final_report,description,download_url,download_title,file_type
201903IIL1,https://www.csb.gov/ab-specialty-silicones-llc/,"AB Specialty Silicones, LLC","Location:  Waukegan, IL",Release,5/3/2019,9/24/2021,,https://www.csb.gov/assets/recommendation/Status_Change_Summary_ABSS_(ABSS_R1)_C-AA.pdf,Recommendation Status Change Summary,pdf
201903IIL1,https://www.csb.gov/ab-specialty-silicones-llc/,"AB Specialty Silicones, LLC","Location:  Waukegan, IL",Release,5/3/2019,9/24/2021,,https://www.csb.gov/assets/recommendation/Status_Change_Summary_ABSS_(ABSS_R2)_C-AA.pdf,Recommendation Status Change Summary,pdf
201903IIL1,https://www.csb.gov/ab-specialty-silicones-llc/,"AB Specialty Silicones, LLC","Location:  Waukegan, IL",Release,5/3/2019,9/24/2021,,https://www.csb.gov/assets/recommendation/Status_Change_Summary_ABSS_(ABSS_R3)_C-AA.pdf,Recommendation Status Change Summary,pdf
201903IIL1,https://www.csb.gov/ab-specialty-silicones-llc/,"AB Specialty Silicones, LLC","Location:  Waukegan, IL",Release,5/3/2019,9/24/2021,,https://www.csb.gov/assets/1/20/ab_specialty_investigation_report_final21.pdf?16886,AB Specialties Final Report,pdf
,https://www.csb.gov/acetylene-service-company-gas-explosion/,Acetylene Service Company Gas Explosion,"Location: Perth Amboy, NJ",Chemical Manufacturing - Fire and Explosion,1/24/2005,1/25/2006,,https://www.csb.gov/assets/recommendation/Status_change_summary__ASCO_R3-4.pdf,Download,pdf
,https://www.csb.gov/acetylene-service-company-gas-explosion/,Acetylene Service Company Gas Explosion,"Location: Perth Amboy, NJ",Chemical Manufacturing - Fire and Explosion,1/24/2005,1/25/2006,,https://www.csb.gov/assets/recommendation/Status_change_summary__ASCO_R3-41.pdf,Download,pdf
,https://www.csb.gov/acetylene-service-company-gas-explosion/,Acetylene Service Company Gas Explosion,"Location: Perth Amboy, NJ",Chemical Manufacturing - Fire and Explosion,1/24/2005,1/25/2006,,https://www.csb.gov/assets/1/20/CSB_Report_Schedule.pdf?16814,Investigation Report Release Schedule,pdf
,https://www.csb.gov/acetylene-service-company-gas-explosion/,Acetylene Service Company Gas Explosion,"Location: Perth Amboy, NJ",Chemical Manufacturing - Fire and Explosion,1/24/2005,1/25/2006,,https://www.csb.gov/assets/1/20/ASCO_Final_v1_color.pdf?13743,Safety Bulletin: Explosion at ASCO - Dangers of Flammable Gas Accumulation,pdf
,https://www.csb.gov/after-katrina-special-precautions-needed-during-oil-and-chemical-facility-startup/,After Katrina: Special Precautions Needed During Oil and Chemical Facility Startup,"Location: ,",Oil and Refining - Fire and Explosion,9/8/2005,9/8/2005,,https://www.csb.gov/assets/1/20/CSBKatrinaSafetyBulletin.pdf?13899,"In Wake of Hurricane Katrina, CSB Issues Safety Bulletin Urging Oil and Chemical Facilities to Take Special Safety Precautions During Startups",pdf
202001ITX1,https://www.csb.gov/aghorn-operating-inc-waterflood-station-hydrogen-sulfide-release-/,Aghorn Operating Inc. Waterflood Station Hydrogen Sulfide Release,"Location: Odessa, TX",Release,10/26/2019,5/21/2021,,https://www.csb.gov/assets/recommendation/Status_Change_Summary_Aghorn_(Aghorn_R1)_C-AA__4-14-2022.pdf,Recommendation Status Change Summary,pdf
202001ITX1,https://www.csb.gov/aghorn-operating-inc-waterflood-station-hydrogen-sulfide-release-/,Aghorn Operating Inc. Waterflood Station Hydrogen Sulfide Release,"Location: Odessa, TX",Release,10/26/2019,5/21/2021,,https://www.csb.gov/assets/recommendation/Status_Change_Summary_Aghorn_(Aghorn_R2)_C-AA.pdf,Recommendation Status Change Summary,pdf
202001ITX1,https://www.csb.gov/aghorn-operating-inc-waterflood-station-hydrogen-sulfide-release-/,Aghorn Operating Inc. Waterflood Station Hydrogen Sulfide Release,"Location: Odessa, TX",Release,10/26/2019,5/21/2021,,https://www.csb.gov/assets/recommendation/Status_Change_Summary_Aghorn_(Aghorn_R3)_C-AAA.pdf,Recommendation Status Change Summary,pdf
202001ITX1,https://www.csb.gov/aghorn-operating-inc-waterflood-station-hydrogen-sulfide-release-/,Aghorn Operating Inc. Waterflood Station Hydrogen Sulfide Release,"Location: Odessa, TX",Release,10/26/2019,5/21/2021,,https://www.csb.gov/assets/recommendation/Status_Change_Summary_Aghorn_(Aghorn_R4)_C-AA.pdf,Recommendation Status Change Summary,pdf
202001ITX1,https://www.csb.gov/aghorn-operating-inc-waterflood-station-hydrogen-sulfide-release-/,Aghorn Operating Inc. Waterflood Station Hydrogen Sulfide Release,"Location: Odessa, TX",Release,10/26/2019,5/21/2021,,https://www.csb.gov/assets/recommendation/Status_Change_Summary_Aghorn_(Aghorn_R5)_C-AA.pdf,Recommendation Status Change Summary,pdf
