root_id,file_id,recommendation_id,case,recipient,status,recommendation_text,download_url
202001ITX,202001ITX1,2020-01-I-TX-1,Aghorn Operating Inc. Waterflood Station Hydrogen Sulfide Release,Aghorn Operating Inc.,C-AA,"For all waterflood stations where the potential exists to expose workers or non-employees to H 2 S concentrations at or above 10 ppm, mandate the use of personal H 2 S detection devices as an integral part of every employee or visitor personal protective equipment (PPE) kit prior to entering the vicinity of the facility. Ensure detector use is in accordance with manufacturer specifications.",https://www.csb.gov/assets/recommendation/Status_Change_Summary_Aghorn_(Aghorn_R1)_C-AA__4-14-2022.pdf
202001ITX,202001ITX1,2020-01-I-TX-1,Aghorn Operating Inc. Waterflood Station Hydrogen Sulfide Release,Aghorn Operating Inc.,C-AA,"For all waterflood stations where the potential exists to expose workers or non-employees to H 2 S concentrations at or above 10 ppm, mandate the use of personal H 2 S detection devices as an integral part of every employee or visitor personal protective equipment (PPE) kit prior to entering the vicinity of the facility. Ensure detector use is in accordance with manufacturer specifications.",https://www.csb.gov/assets/recommendation/Status_Change_Summary_Aghorn_(Aghorn_R2)_C-AA.pdf
202001ITX,202001ITX1,2020-01-I-TX-1,Aghorn Operating Inc. Waterflood Station Hydrogen Sulfide Release,Aghorn Operating Inc.,C-AA,"For all waterflood stations where the potential exists to expose workers or non-employees to H 2 S concentrations at or above 10 ppm, mandate the use of personal H 2 S detection devices as an integral part of every employee or visitor personal protective equipment (PPE) kit prior to entering the vicinity of the facility. Ensure detector use is in accordance with manufacturer specifications.",https://www.csb.gov/assets/recommendation/Status_Change_Summary_Aghorn_(Aghorn_R3)_C-AAA.pdf
202001ITX,202001ITX1,2020-01-I-TX-1,Aghorn Operating Inc. Waterflood Station Hydrogen Sulfide Release,Aghorn Operating Inc.,C-AA,"For all waterflood stations where the potential exists to expose workers or non-employees to H 2 S concentrations at or above 10 ppm, mandate the use of personal H 2 S detection devices as an integral part of every employee or visitor personal protective equipment (PPE) kit prior to entering the vicinity of the facility. Ensure detector use is in accordance with manufacturer specifications.",https://www.csb.gov/assets/recommendation/Status_Change_Summary_Aghorn_(Aghorn_R4)_C-AA.pdf
202001ITX,202001ITX1,2020-01-I-TX-1,Aghorn Operating Inc. Waterflood Station Hydrogen Sulfide Release,Aghorn Operating Inc.,C-AA,"For all waterflood stations where the potential exists to expose workers or non-employees to H 2 S concentrations at or above 10 ppm, mandate the use of personal H 2 S detection devices as an integral part of every employee or visitor personal protective equipment (PPE) kit prior to entering the vicinity of the facility. Ensure detector use is in accordance with manufacturer specifications.",https://www.csb.gov/assets/recommendation/Status_Change_Summary_Aghorn_(Aghorn_R5)_C-AA.pdf
202001ITX,202001ITX1,2020-01-I-TX-1,Aghorn Operating Inc. Waterflood Station Hydrogen Sulfide Release,Aghorn Operating Inc.,C-AA,"For all waterflood stations where the potential exists to expose workers or non-employees to H 2 S concentrations at or above 10 ppm, mandate the use of personal H 2 S detection devices as an integral part of every employee or visitor personal protective equipment (PPE) kit prior to entering the vicinity of the facility. Ensure detector use is in accordance with manufacturer specifications.",https://www.csb.gov/assets/recommendation/Status_Change_Summary_Aghorn_(Aghorn_R6)_C-AA.pdf
202001ITX,202001ITX1,2020-01-I-TX-1,Aghorn Operating Inc. Waterflood Station Hydrogen Sulfide Release,Aghorn Operating Inc.,C-AA,"For all waterflood stations where the potential exists to expose workers or non-employees to H 2 S concentrations at or above 10 ppm, mandate the use of personal H 2 S detection devices as an integral part of every employee or visitor personal protective equipment (PPE) kit prior to entering the vicinity of the facility. Ensure detector use is in accordance with manufacturer specifications.",https://www.csb.gov/assets/recommendation/Status_Change_Summary_Aghorn_(Aghorn_R7)_O-ARAR.pdf
202001ITX,202001ITX2,2020-01-I-TX-2,Aghorn Operating Inc. Waterflood Station Hydrogen Sulfide Release,Aghorn Operating Inc.,C-AA,"For all waterflood stations where the potential exists to expose workers or non-employees to H 2 S concentrations at or above 10 ppm, mandate the use of personal H 2 S detection devices as an integral part of every employee or visitor personal protective equipment (PPE) kit prior to entering the vicinity of the facility. Ensure detector use is in accordance with manufacturer specifications.",https://www.csb.gov/assets/recommendation/Status_Change_Summary_Aghorn_(Aghorn_R1)_C-AA__4-14-2022.pdf
202001ITX,202001ITX2,2020-01-I-TX-2,Aghorn Operating Inc. Waterflood Station Hydrogen Sulfide Release,Aghorn Operating Inc.,C-AA,"For all waterflood stations where the potential exists to expose workers or non-employees to H 2 S concentrations at or above 10 ppm, mandate the use of personal H 2 S detection devices as an integral part of every employee or visitor personal protective equipment (PPE) kit prior to entering the vicinity of the facility. Ensure detector use is in accordance with manufacturer specifications.",https://www.csb.gov/assets/recommendation/Status_Change_Summary_Aghorn_(Aghorn_R2)_C-AA.pdf
202001ITX,202001ITX2,2020-01-I-TX-2,Aghorn Operating Inc. Waterflood Station Hydrogen Sulfide Release,Aghorn Operating Inc.,C-AA,"For all waterflood stations where the potential exists to expose workers or non-employees to H 2 S concentrations at or above 10 ppm, mandate the use of personal H 2 S detection devices as an integral part of every employee or visitor personal protective equipment (PPE) kit prior to entering the vicinity of the facility. Ensure detector use is in accordance with manufacturer specifications.",https://www.csb.gov/assets/recommendation/Status_Change_Summary_Aghorn_(Aghorn_R3)_C-AAA.pdf
