table_id,table_name,subject_area,record_count
368,ef_w_onshore_wells,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),4325776
228,c_tier2_monthly_hhv,Subpart C - General Stationary Fuel Combustion Sources,1166841
157,hh_hist_yr_waste_qty,Subpart HH - Municipal Solid Waste Landfills,689312
50,hh_hist_yr_waste_qty_detl,Subpart HH - Municipal Solid Waste Landfills,557163
352,ef_w_flare_stacks_units,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),510248
349,ef_w_emissions_source_ghg,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),503060
373,rlps_ghg_emitter_subpart,Subpart Information,391632
369,tt_hist_waste_method,Subpart TT - Industrial Waste Landfills,329834
328,rlps_ghg_emitter_sector,Sector Information,308581
389,rlps_ghg_emitter_gas,Gas Information,308567
178,c_fuel_level_information,Subpart C - General Stationary Fuel Combustion Sources,274858
402,c_configuration_level_info,Subpart C - General Stationary Fuel Combustion Sources,236691
199,c_subpart_level_information,Subpart C - General Stationary Fuel Combustion Sources,221419
272,ef_w_recip_leak_vent_data,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),214690
231,ef_w_equip_leaks_comp_emissfac,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),172586
70,hh_waste_qty_details,Subpart HH - Municipal Solid Waste Landfills,155022
361,ef_w_recip_comp_source,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),150942
60,ef_w_equip_leaks_onshore,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),133874
386,rlps_parent_company_info,Facility Information,130549
213,hh_ann_waste_disposal_qty,Subpart HH - Municipal Solid Waste Landfills,116619
305,c_t2eqc2amonthlyinputs,Subpart C - General Stationary Fuel Combustion Sources,110940
380,ii_ch4_gen_process,Subpart II - Industrial Wastewater Treatment,108357
387,rlps_ghg_emitter_facilities,Facility Information,107329
314,ef_w_offshore_emiss_source,Subpart W - Petroleum and Natural Gas Systems (RY 2015-2023),88060
343,w_subpart_level_information,Subpart W - Petroleum and Natural Gas Systems (RY 2011-2014),81407
289,ff_degas_weekly,Subpart FF - Underground Coal Mines,80139
